criteria,threshold,subj_id,max_perf_1,max_perf_2,max_perf_3,max_perf_4,block_1_target,block_2_target,block_3_target,block_4_target,reach_max_1,reach_max_2,reach_max_3,reach_max_4
10,1,1,0.7,1,0.6,1,lion,,lion,,41,12,9,15
10,1,2,1,1,1,1,,,,,27,10,1,1
10,1,3,1,1,0.9,1,,,bolt,,13,2,1,1
10,1,4,1,1,1,1,,,,,20,3,2,1
10,1,5,0.8,0.8,1,1,lion,beaver,,,29,33,1,32
10,1,6,0.7,1,0.3,1,arc,,arc,,11,2,2,7
10,1,7,1,1,0.9,0.9,,,arc,lion,34,5,7,1
10,1,8,0.5,1,1,1,lion,,,,1,18,4,1
10,1,9,0.8,1,1,1,lion,,,,38,16,13,5
10,1,10,1,1,1,1,,,,,38,4,3,7
10,1,11,1,1,1,1,,,,,7,3,7,6
10,1,12,0.4,0.7,0.5,0.8,lion,arc,bolt,arc,11,2,1,1
10,1,13,1,1,1,1,,,,,7,1,1,2
10,1,14,1,1,0.8,1,,,bolt,,40,4,9,1
10,1,15,1,1,1,0.9,,,,lion,4,35,1,1
10,1,16,1,1,1,1,,,,,20,10,1,1
10,1,17,1,0.8,1,0.9,,bolt,,lion,31,41,5,8
10,1,18,1,1,1,1,,,,,16,3,1,1
10,1,19,0.5,1,0.8,0.9,beaver,,beaver,lion,7,33,10,10
10,1,20,1,1,1,1,,,,,10,3,1,1
10,1,21,0.9,1,1,1,arc,,,,23,17,2,1
10,1,22,0.9,1,1,1,bolt,,,,22,6,1,1
10,1,23,1,0.9,0.9,1,,bolt,beaver,,36,17,9,7
10,1,24,1,1,0.7,0.9,,,beaver,lion,19,21,1,8
10,1,25,0.9,1,1,1,beaver,,,,35,14,2,4
10,1,26,1,1,1,1,,,,,4,18,11,1
10,1,27,0.9,1,1,1,arc,,,,39,1,1,9
10,1,28,1,1,1,1,,,,,29,1,5,6
10,1,29,0.3,1,0.8,0.9,beaver,,arc,lion,24,28,11,1
10,1,30,0.7,1,1,0.9,lion,,,beaver,13,25,1,1
